Namespace(n_epochs=100, batch_size=64, lr=5e-05, n_cpu=8, latent_dim=100, img_size=28, channels=1, n_critic=5, clip_value=0.01, sample_interval=3000)
[Epoch 0/100] [Batch 905/938] [D loss: -0.660907] [G loss: -14.856864]
[Epoch 0/100] [Batch 910/938] [D loss: -0.924664] [G loss: -14.867362]
[Epoch 0/100] [Batch 915/938] [D loss: -0.597775] [G loss: -14.822758]
[Epoch 0/100] [Batch 920/938] [D loss: -0.779400] [G loss: -14.576983]
[Epoch 0/100] [Batch 925/938] [D loss: -0.888100] [G loss: -14.630451]
[Epoch 0/100] [Batch 930/938] [D loss: -0.575436] [G loss: -14.799654]
[Epoch 0/100] [Batch 935/938] [D loss: -0.436923] [G loss: -14.818720]
[Epoch 1/100] [Batch 0/938] [D loss: -0.548565] [G loss: -14.747316]
[Epoch 1/100] [Batch 5/938] [D loss: -0.408031] [G loss: -14.733037]
[Epoch 1/100] [Batch 10/938] [D loss: -0.509436] [G loss: -14.741425]
[Epoch 1/100] [Batch 15/938] [D loss: -0.628654] [G loss: -14.557700]
[Epoch 1/100] [Batch 20/938] [D loss: -0.367572] [G loss: -14.690085]
[Epoch 1/100] [Batch 25/938] [D loss: -0.653975] [G loss: -14.653899]
[Epoch 1/100] [Batch 30/938] [D loss: -0.504104] [G loss: -14.635990]
[Epoch 1/100] [Batch 35/938] [D loss: -0.522180] [G loss: -14.513245]
[Epoch 1/100] [Batch 40/938] [D loss: -0.439155] [G loss: -14.576150]
[Epoch 1/100] [Batch 45/938] [D loss: -0.552601] [G loss: -14.462743]
[Epoch 1/100] [Batch 50/938] [D loss: -0.855706] [G loss: -14.400909]
[Epoch 1/100] [Batch 55/938] [D loss: -0.495433] [G loss: -14.359803]
[Epoch 1/100] [Batch 60/938] [D loss: -0.567134] [G loss: -14.354253]
[Epoch 1/100] [Batch 65/938] [D loss: -0.374982] [G loss: -14.415551]
[Epoch 1/100] [Batch 70/938] [D loss: -0.727407] [G loss: -14.342535]
[Epoch 1/100] [Batch 75/938] [D loss: -0.439615] [G loss: -14.327952]
[Epoch 1/100] [Batch 80/938] [D loss: -0.693864] [G loss: -14.334758]
[Epoch 1/100] [Batch 85/938] [D loss: -0.373811] [G loss: -14.277201]
[Epoch 1/100] [Batch 90/938] [D loss: -0.541065] [G loss: -14.221661]
[Epoch 1/100] [Batch 95/938] [D loss: -0.542639] [G loss: -14.203694]
[Epoch 1/100] [Batch 100/938] [D loss: -0.464195] [G loss: -14.140980]
[Epoch 1/100] [Batch 105/938] [D loss: -0.598031] [G loss: -14.107424]
[Epoch 1/100] [Batch 110/938] [D loss: -0.449758] [G loss: -14.111135]
[Epoch 1/100] [Batch 115/938] [D loss: -0.367306] [G loss: -14.034521]
[Epoch 1/100] [Batch 120/938] [D loss: -0.526044] [G loss: -14.022480]
